dataset,run_id,problem_id
livecodebench,livecodebench_89,3017
livecodebench,livecodebench_9,2727
livecodebench,livecodebench_93,3025
livecodebench,livecodebench_94,3031
livecodebench,livecodebench_95,3032
livecodebench,livecodebench_96,3033
livecodebench,livecodebench_97,3034
livecodebench,livecodebench_98,3044
math500,math500_1,test/intermediate_algebra/1994.json
math500,math500_10,test/number_theory/1032.json
math500,math500_101,test/intermediate_algebra/582.json
math500,math500_103,test/intermediate_algebra/558.json
math500,math500_105,test/prealgebra/1804.json
math500,math500_106,test/intermediate_algebra/515.json
math500,math500_107,test/number_theory/914.json
math500,math500_108,test/intermediate_algebra/894.json
math500,math500_109,test/precalculus/44.json
math500,math500_110,test/intermediate_algebra/345.json
math500,math500_113,test/algebra/2593.json
math500,math500_114,test/intermediate_algebra/1898.json
math500,math500_117,test/algebra/2251.json
math500,math500_123,test/geometry/283.json
math500,math500_125,test/algebra/2232.json
math500,math500_126,test/intermediate_algebra/1063.json
math500,math500_128,test/algebra/661.json
math500,math500_130,test/number_theory/753.json
math500,math500_131,test/algebra/246.json
math500,math500_132,test/prealgebra/1686.json
math500,math500_135,test/prealgebra/1297.json
math500,math500_138,test/counting_and_probability/430.json
math500,math500_14,test/precalculus/1303.json
math500,math500_140,test/number_theory/156.json
math500,math500_141,test/number_theory/612.json
math500,math500_142,test/counting_and_probability/159.json
math500,math500_148,test/algebra/988.json
math500,math500_149,test/number_theory/931.json
math500,math500_150,test/intermediate_algebra/964.json
math500,math500_151,test/precalculus/986.json
math500,math500_152,test/geometry/172.json
math500,math500_154,test/geometry/880.json
math500,math500_157,test/intermediate_algebra/1410.json
math500,math500_158,test/algebra/2570.json
math500,math500_161,test/algebra/1255.json
math500,math500_162,test/prealgebra/1655.json
math500,math500_163,test/algebra/2517.json
math500,math500_164,test/precalculus/697.json
math500,math500_165,test/prealgebra/1356.json
math500,math500_166,test/prealgebra/1003.json
math500,math500_167,test/algebra/478.json
math500,math500_170,test/algebra/297.json
math500,math500_172,test/algebra/841.json
math500,math500_173,test/algebra/686.json
math500,math500_175,test/intermediate_algebra/991.json
math500,math500_177,test/geometry/65.json
math500,math500_180,test/prealgebra/1908.json
math500,math500_182,test/prealgebra/1922.json
math500,math500_183,test/algebra/1082.json
math500,math500_184,test/intermediate_algebra/183.json
math500,math500_185,test/algebra/1214.json
math500,math500_189,test/geometry/702.json
math500,math500_19,test/intermediate_algebra/1000.json
math500,math500_191,test/algebra/109.json
math500,math500_194,test/intermediate_algebra/2196.json
math500,math500_197,test/number_theory/838.json
math500,math500_198,test/counting_and_probability/508.json
math500,math500_199,test/prealgebra/1907.json
math500,math500_20,test/algebra/1098.json
math500,math500_21,test/intermediate_algebra/607.json
math500,math500_24,test/algebra/2427.json
math500,math500_25,test/intermediate_algebra/1388.json
math500,math500_27,test/prealgebra/1840.json
math500,math500_28,test/precalculus/779.json
math500,math500_29,test/counting_and_probability/666.json
math500,math500_3,test/number_theory/572.json
math500,math500_30,test/number_theory/864.json
math500,math500_31,test/prealgebra/1302.json
math500,math500_35,test/number_theory/627.json
math500,math500_38,test/algebra/24.json
math500,math500_4,test/algebra/1349.json
math500,math500_40,test/prealgebra/930.json
math500,math500_42,test/algebra/2214.json
math500,math500_44,test/prealgebra/1558.json
math500,math500_45,test/geometry/178.json
math500,math500_46,test/precalculus/285.json
math500,math500_47,test/algebra/305.json
math500,math500_5,test/prealgebra/1622.json
math500,math500_50,test/number_theory/1055.json
math500,math500_52,test/prealgebra/951.json
math500,math500_58,test/algebra/722.json
math500,math500_59,test/prealgebra/1247.json
math500,math500_6,test/number_theory/515.json
math500,math500_64,test/precalculus/1146.json
math500,math500_68,test/precalculus/1313.json
math500,math500_72,test/geometry/456.json
math500,math500_73,test/algebra/2253.json
math500,math500_74,test/precalculus/24313.json
math500,math500_75,test/counting_and_probability/1114.json
math500,math500_76,test/intermediate_algebra/623.json
math500,math500_78,test/intermediate_algebra/47.json
math500,math500_82,test/algebra/2700.json
math500,math500_84,test/algebra/893.json
math500,math500_86,test/prealgebra/307.json
math500,math500_87,test/algebra/567.json
math500,math500_90,test/prealgebra/1761.json
math500,math500_92,test/counting_and_probability/377.json
math500,math500_93,test/algebra/873.json
math500,math500_96,test/intermediate_algebra/662.json
math500,math500_97,test/prealgebra/105.json
