cell,run_id,dataset,n,rho,p
A_entropy_within_supplement,math500_198,math500,886,-0.029806424123964958,0.3755340083466459
A_entropy_within_supplement,math500_21,math500,820,-0.027788487519333303,0.4267992180166246
A_entropy_within_supplement,math500_24,math500,769,-0.1261246738469593,0.00045512781744051685
A_entropy_within_supplement,math500_4,math500,621,-0.05203922258350132,0.1952941512382123
A_entropy_within_supplement,math500_42,math500,672,-0.10765332334097102,0.005212166271451343
A_entropy_within_supplement,math500_44,math500,445,-0.14710236008165165,0.0018623905938626255
A_entropy_within_supplement,math500_46,math500,920,0.010603756261115826,0.7480591245782833
A_entropy_within_supplement,math500_5,math500,331,-0.16258375992296573,0.0030118637151593896
A_entropy_within_supplement,math500_59,math500,813,-0.009303541432310996,0.7911089169392451
A_entropy_within_supplement,math500_64,math500,932,0.01582747819017322,0.6293984515208995
A_entropy_within_supplement,math500_73,math500,625,0.0003581223887933154,0.9928708866919564
A_entropy_within_supplement,math500_78,math500,761,-0.06376485125195161,0.07875951224855338
A_entropy_within_supplement,math500_84,math500,699,-0.15567101590073415,3.571496448948376e-05
A_entropy_within_supplement,math500_92,math500,794,-0.1991480993122597,1.5178016795778402e-08
A_entropy_within_supplement,math500_96,math500,781,-0.13269243994001748,0.0002001797457506108
